time,open,high,low,close,tick_volume,spread,real_volume
2025-07-01 00:48:00,3312.18,3312.34,3312.05,3312.07,52,12,0
2025-07-01 00:49:00,3312.07,3312.62,3312.07,3312.57,44,12,0
2025-07-01 00:50:00,3312.57,3313.42,3312.56,3313.4,74,12,0
2025-07-01 00:51:00,3313.4,3313.61,3313.14,3313.19,100,12,0
2025-07-01 00:52:00,3313.23,3313.42,3311.8,3312.3,108,12,0
2025-07-01 00:53:00,3312.3,3312.86,3312.29,3312.63,88,12,0
2025-07-01 00:54:00,3312.63,3313.09,3312.63,3312.96,116,12,0
2025-07-01 00:55:00,3312.96,3313.65,3312.96,3313.47,100,12,0
2025-07-01 00:56:00,3313.47,3313.82,3313.29,3313.69,77,12,0
2025-07-01 00:57:00,3313.69,3314.47,3313.53,3314.39,122,12,0
2025-07-01 00:58:00,3314.4,3314.84,3314.28,3314.56,92,12,0
2025-07-01 00:59:00,3314.56,3314.83,3314.25,3314.75,110,12,0
2025-07-01 01:00:00,3314.75,3315.57,3313.99,3315.18,233,12,0
2025-07-01 01:01:00,3315.2,3315.76,3314.34,3314.62,182,12,0
2025-07-01 01:02:00,3314.62,3315.23,3314.44,3314.8,142,12,0
2025-07-01 01:03:00,3314.8,3315.33,3314.22,3315.33,121,12,0
2025-07-01 01:04:00,3315.33,3316.1,3315.21,3316.04,145,12,0
2025-07-01 01:05:00,3316.04,3317.5,3315.92,3317.24,159,12,0
2025-07-01 01:06:00,3317.24,3317.27,3316.31,3317.03,118,12,0
2025-07-01 01:07:00,3317.02,3317.71,3316.99,3317.61,118,12,0
2025-07-01 01:08:00,3317.6,3318.03,3317.06,3318.01,124,12,0
2025-07-01 01:09:00,3317.96,3318.12,3317.52,3318.09,135,12,0
2025-07-01 01:10:00,3318.06,3318.09,3317.32,3317.71,123,12,0
2025-07-01 01:11:00,3317.73,3318.49,3317.6,3318.45,140,12,0
2025-07-01 01:12:00,3318.5,3318.51,3317.42,3318.12,141,12,0
2025-07-01 01:13:00,3318.12,3318.46,3317.42,3317.85,116,12,0
2025-07-01 01:14:00,3317.92,3318.94,3317.92,3318.83,166,12,0
2025-07-01 01:15:00,3318.83,3319.49,3318.37,3318.42,148,12,0
2025-07-01 01:16:00,3318.42,3318.77,3318.24,3318.54,125,12,0
2025-07-01 01:17:00,3318.54,3319.27,3318.17,3319.2,149,12,0
2025-07-01 01:18:00,3319.2,3320.24,3319.2,3319.73,133,12,0
2025-07-01 01:19:00,3319.73,3320.35,3319.33,3319.53,144,12,0
2025-07-01 01:20:00,3319.53,3320.32,3319.53,3319.74,196,12,0
2025-07-01 01:21:00,3319.73,3320.22,3319.47,3319.85,151,12,0
2025-07-01 01:22:00,3319.85,3320.14,3319.57,3320.08,136,12,0
2025-07-01 01:23:00,3320.08,3320.11,3319.43,3319.56,132,12,0
2025-07-01 01:24:00,3319.56,3319.85,3318.62,3319.34,166,12,0
2025-07-01 01:25:00,3319.34,3319.79,3319.06,3319.69,161,12,0
2025-07-01 01:26:00,3319.69,3320.89,3319.64,3320.17,135,12,0
2025-07-01 01:27:00,3320.17,3320.72,3320.11,3320.43,120,12,0
2025-07-01 01:28:00,3320.43,3320.54,3320.25,3320.53,71,12,0
2025-07-01 01:29:00,3320.56,3320.72,3320.17,3320.34,96,12,0
2025-07-01 01:30:00,3320.34,3320.52,3320.14,3320.5,107,12,0
2025-07-01 01:31:00,3320.63,3321.02,3320.52,3320.53,98,12,0
2025-07-01 01:32:00,3320.53,3320.57,3320.21,3320.29,97,12,0
2025-07-01 01:33:00,3320.29,3320.39,3318.7,3318.7,129,12,0
2025-07-01 01:34:00,3318.7,3318.84,3317.63,3318.35,168,12,0
2025-07-01 01:35:00,3318.35,3318.37,3317.59,3318.33,149,12,0
2025-07-01 01:36:00,3318.33,3318.82,3318.12,3318.61,132,12,0
2025-07-01 01:37:00,3318.61,3318.9,3318.39,3318.46,135,12,0
2025-07-01 01:38:00,3318.46,3318.53,3316.42,3316.53,171,12,0
2025-07-01 01:39:00,3316.53,3317.91,3316.37,3317.91,150,12,0
2025-07-01 01:40:00,3317.89,3318.25,3316.12,3316.26,161,12,0
2025-07-01 01:41:00,3316.26,3316.95,3316.11,3316.78,173,12,0
2025-07-01 01:42:00,3316.78,3318.18,3316.58,3318.1,162,12,0
2025-07-01 01:43:00,3318.1,3319.72,3317.53,3319.61,170,12,0
2025-07-01 01:44:00,3319.58,3320.51,3319.53,3319.77,183,12,0
2025-07-01 01:45:00,3319.76,3319.84,3319.11,3319.19,102,12,0
2025-07-01 01:46:00,3319.19,3319.76,3319.08,3319.48,106,12,0
2025-07-01 01:47:00,3319.48,3320.42,3319.12,3320.14,126,12,0
2025-07-01 01:48:00,3320.14,3320.58,3319.72,3319.8,128,12,0
2025-07-01 01:49:00,3319.8,3320.59,3319.74,3320.41,119,12,0
2025-07-01 01:50:00,3320.41,3320.49,3319.06,3319.69,164,12,0
2025-07-01 01:51:00,3319.69,3319.75,3319.02,3319.06,109,12,0
2025-07-01 01:52:00,3319.1,3319.1,3317.18,3317.36,166,12,0
2025-07-01 01:53:00,3317.29,3317.6,3316.11,3316.53,167,12,0
2025-07-01 01:54:00,3316.53,3317.31,3315.86,3316.79,152,12,0
2025-07-01 01:55:00,3316.79,3317.96,3316.79,3317.65,159,12,0
2025-07-01 01:56:00,3317.65,3318.06,3317.13,3317.69,149,12,0
2025-07-01 01:57:00,3317.68,3318.22,3317.41,3318.21,93,12,0
2025-07-01 01:58:00,3318.21,3318.33,3317.89,3317.9,101,12,0
2025-07-01 01:59:00,3317.9,3317.91,3317.38,3317.88,109,12,0
2025-07-01 02:00:00,3317.8,3317.94,3316.05,3316.78,174,12,0
2025-07-01 02:01:00,3316.75,3316.85,3315.99,3316.73,158,12,0
2025-07-01 02:02:00,3316.73,3316.92,3316.41,3316.65,127,12,0
2025-07-01 02:03:00,3316.65,3316.71,3315.69,3315.75,118,12,0
2025-07-01 02:04:00,3315.75,3316.44,3315.71,3316.27,136,12,0
2025-07-01 02:05:00,3316.27,3316.67,3315.77,3315.82,145,12,0
2025-07-01 02:06:00,3315.82,3317.01,3315.67,3316.92,146,12,0
2025-07-01 02:07:00,3316.92,3317.26,3316.49,3317.12,134,12,0
2025-07-01 02:08:00,3317.12,3317.41,3316.06,3316.36,124,12,0
2025-07-01 02:09:00,3316.36,3317.07,3316.35,3316.87,140,12,0
2025-07-01 02:10:00,3316.87,3316.92,3316.28,3316.42,92,12,0
2025-07-01 02:11:00,3316.4,3316.58,3315.57,3316.41,133,12,0
2025-07-01 02:12:00,3316.41,3316.74,3316.26,3316.59,120,12,0
2025-07-01 02:13:00,3316.59,3316.9,3316.34,3316.55,121,12,0
2025-07-01 02:14:00,3316.55,3316.7,3316.11,3316.12,121,12,0
2025-07-01 02:15:00,3316.13,3316.71,3315.78,3316.63,94,12,0
2025-07-01 02:16:00,3316.63,3316.86,3316.13,3316.69,72,12,0
2025-07-01 02:17:00,3316.69,3317.4,3316.6,3317.19,100,12,0
2025-07-01 02:18:00,3317.19,3317.19,3315.9,3315.9,92,12,0
2025-07-01 02:19:00,3315.9,3316.03,3314.93,3315.04,116,12,0
2025-07-01 02:20:00,3315.04,3315.24,3314.65,3315.08,118,12,0
2025-07-01 02:21:00,3315.08,3315.68,3315.05,3315.6,52,12,0
2025-07-01 02:22:00,3315.42,3315.81,3315.41,3315.72,48,12,0
2025-07-01 02:23:00,3315.74,3315.78,3315.16,3315.37,62,12,0
2025-07-01 02:24:00,3315.37,3315.58,3315.13,3315.23,68,12,0
2025-07-01 02:25:00,3315.24,3315.36,3314.61,3314.64,77,12,0
2025-07-01 02:26:00,3314.65,3315.51,3314.53,3315.03,85,12,0
2025-07-01 02:27:00,3315.03,3315.39,3314.44,3315.39,83,12,0
2025-07-01 02:28:00,3315.4,3315.7,3315.17,3315.7,82,12,0
2025-07-01 02:29:00,3315.7,3316.09,3315.31,3316.08,87,12,0
2025-07-01 02:30:00,3316.08,3316.92,3315.76,3316.07,143,12,0
2025-07-01 02:31:00,3316.04,3316.78,3315.19,3315.33,179,12,0
2025-07-01 02:32:00,3315.69,3316.58,3315.41,3316.09,162,12,0
2025-07-01 02:33:00,3316.1,3317.25,3316.1,3317.12,140,12,0
2025-07-01 02:34:00,3317.12,3318.51,3316.99,3317.62,160,12,0
2025-07-01 02:35:00,3317.65,3317.65,3316.04,3316.65,145,12,0
2025-07-01 02:36:00,3316.63,3317.45,3316.63,3316.8,136,12,0
2025-07-01 02:37:00,3316.79,3318.09,3316.73,3317.86,125,12,0
2025-07-01 02:38:00,3317.86,3318.26,3317.75,3318.07,115,12,0
2025-07-01 02:39:00,3318.04,3318.04,3316.15,3316.36,152,12,0
2025-07-01 02:40:00,3316.36,3316.4,3315.59,3316.3,122,12,0
2025-07-01 02:41:00,3316.3,3316.57,3315.76,3315.92,149,12,0
2025-07-01 02:42:00,3315.92,3317.02,3315.6,3316.9,129,12,0
2025-07-01 02:43:00,3316.9,3318.97,3316.9,3318.8,107,12,0
2025-07-01 02:44:00,3318.74,3319.18,3318.07,3318.1,146,12,0
2025-07-01 02:45:00,3318.07,3319.05,3318.01,3319.05,128,12,0
2025-07-01 02:46:00,3319.03,3319.14,3318.74,3318.93,123,12,0
2025-07-01 02:47:00,3318.93,3318.94,3318.3,3318.37,98,12,0
2025-07-01 02:48:00,3318.17,3318.71,3317.99,3318.66,102,12,0
2025-07-01 02:49:00,3318.66,3319.35,3318.45,3318.96,52,12,0
2025-07-01 02:50:00,3318.96,3319.13,3318.83,3318.97,55,12,0
2025-07-01 02:51:00,3319.01,3319.02,3318.07,3318.2,73,12,0
2025-07-01 02:52:00,3318.2,3318.24,3317.51,3317.74,68,12,0
2025-07-01 02:53:00,3317.74,3318.58,3317.61,3317.79,101,12,0
2025-07-01 02:54:00,3317.79,3317.91,3317.0,3317.33,79,12,0
2025-07-01 02:55:00,3317.33,3317.43,3316.29,3316.68,70,12,0
2025-07-01 02:56:00,3316.68,3317.38,3316.68,3317.07,120,12,0
2025-07-01 02:57:00,3317.07,3317.46,3316.92,3317.4,72,12,0
2025-07-01 02:58:00,3317.4,3317.59,3316.96,3316.97,59,12,0
2025-07-01 02:59:00,3316.97,3316.97,3316.05,3316.08,64,12,0
2025-07-01 03:00:00,3316.07,3316.86,3315.78,3316.71,89,12,0
2025-07-01 03:01:00,3316.71,3317.28,3316.13,3317.13,93,12,0
2025-07-01 03:02:00,3317.07,3317.38,3317.03,3317.3,54,12,0
2025-07-01 03:03:00,3317.3,3318.19,3317.3,3317.99,65,12,0
2025-07-01 03:04:00,3317.99,3318.09,3317.16,3317.23,54,12,0
2025-07-01 03:05:00,3317.23,3317.72,3317.2,3317.44,54,12,0
2025-07-01 03:06:00,3317.5,3318.34,3317.27,3318.21,80,12,0
2025-07-01 03:07:00,3318.21,3318.21,3317.8,3317.92,48,12,0
2025-07-01 03:08:00,3317.92,3318.21,3316.87,3316.94,66,12,0
2025-07-01 03:09:00,3316.94,3317.59,3316.39,3317.5,123,12,0
2025-07-01 03:10:00,3317.51,3318.16,3316.59,3316.59,103,12,0
2025-07-01 03:11:00,3316.6,3317.24,3316.5,3316.79,139,12,0
2025-07-01 03:12:00,3316.79,3316.8,3316.06,3316.29,106,12,0
2025-07-01 03:13:00,3316.29,3316.56,3316.06,3316.5,88,12,0
2025-07-01 03:14:00,3316.5,3317.35,3316.5,3317.35,91,12,0
2025-07-01 03:15:00,3317.34,3317.42,3316.87,3317.42,82,12,0
2025-07-01 03:16:00,3317.42,3317.64,3317.26,3317.58,44,12,0
2025-07-01 03:17:00,3317.58,3317.97,3317.51,3317.86,48,12,0
2025-07-01 03:18:00,3317.86,3318.64,3317.86,3318.57,67,12,0
2025-07-01 03:19:00,3318.57,3318.99,3318.27,3318.27,79,12,0
2025-07-01 03:20:00,3318.28,3319.12,3318.28,3318.91,71,12,0
2025-07-01 03:21:00,3318.91,3320.65,3318.91,3320.63,121,12,0
2025-07-01 03:22:00,3320.63,3320.8,3319.92,3320.26,122,12,0
2025-07-01 03:23:00,3320.25,3320.49,3319.79,3319.98,104,12,0
2025-07-01 03:24:00,3319.98,3320.58,3319.89,3320.34,64,12,0
2025-07-01 03:25:00,3320.33,3321.07,3320.17,3320.88,123,12,0
2025-07-01 03:26:00,3320.88,3321.21,3320.77,3321.04,119,12,0
2025-07-01 03:27:00,3321.04,3321.96,3320.72,3321.79,120,12,0
2025-07-01 03:28:00,3321.79,3321.9,3320.78,3320.91,152,12,0
2025-07-01 03:29:00,3320.91,3321.24,3320.65,3321.08,131,12,0
